,Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12
1274,"In a four-trillion-dollar annual budget, a few million dollars here and there to lubricate the gears of Congress seems like a very small price to pay if it would create a more productive legislative body.",05 Engineering and Business: Engineering,Built,Congress,gears of [built],gears of,Congress,Government,lubricate,Machine,761379,,
621,"The 2004 election season was a quiet one for most state governors; only 11 states had gubernatorial contests, and of those 11, a mere seven featured incumbents running on Election Day.",03 Conflict,Conflict,election,,season,election,Elections,season,Game,2453315,,
1092,Americans worship gun rights like they are scripture O_o,04 Power and Control: God,God,gun rights,,worship,gun rights,Gun Rights,worship,A God,2376883,,
1396,"And when one considers that the typical American poverty victim in 1991 is a child, the case for strengthening the family unit combines both rational and humane reasons.",06 Morality and Justice,Crime,poverty,,victim,poverty,Poverty,victim,Crime,2378076,,
353,"Its mission is to enhance the understanding of Islam, encourage dialogue, protect civil liberties, empower American Muslims and build coalitions that promote justice and mutual understanding.",01 Health and Safety,Threatened,civil liberties,,protect,civil liberties,Democracy,protect,Protection,2469884,,
1578,"Today, Victoria's Parliament reconvenes in what is, by any measure, a dismal caricature of a decrepit and arthritic democracy.",10 Human Life Cycle and Family Relations,Entity,democracy,arthritic [entity],arthritic,democracy,Democracy,arthritic,Life Stage,,,
680,The owner of the popular Brighton Beach-based Tatiana's Restaurant (3152 Brighton 6th Street) lost a tax battle due to a ruling that will cost her hundreds of thousands of dollars.,03 Conflict,Conflict,tax,,battle,tax,Taxation,battle,War,2377887,,
1017,He couches L'Enfant's plan as a victory of the legislature over the presidency by symbolically placing the CB at the center of the plan.,03 Conflict,Winner,the legislature,victory of [winner] over,victory of over,legislature,Government,victory,Competition/Game/Struggle,153443,,
112,"Well, other than feeding the city's sales tax addiction what do we get as a city for its citizens?",01 Health and Safety,Threat,sales tax,,addiction,sales tax,Taxation,addiction,Addiction,2377708,,
850,"But no, the gun lobby did not ""win.""",03 Conflict,Side,gun lobby,,win,gun lobby,Guns,win,Competition/Game,2727457,,
714,Kill KC's proposed extra trash tax,03 Conflict,Enemy,tax,,Kill,tax,Taxation,Kill,Physical Harm,1946841,,
766,They are not organised to fight gun control or protect their rights.,03 Conflict,Enemy,gun control,,fight,gun control,Control of Guns,fight,Struggle/War,2669990,,
280,Poisoned Milk and the Poisoning of Democracy: Some Cautions about China Trade and Taiwan Sovereignty.,01 Health and Safety,Threatened,Democracy,,Poisoning,Democracy,Democracy,Poisoning,Contamination/Physical Harm,2867776,,
163,They push gun control for voter support plain and simple and they fuel that angst for the evil gun through emotion therefore brainwashing their followers into believing it's a real problem when it's not.,01 Health and Safety,Threat,gun,,evil,gun,Guns,evil,Monster,2157699,,
1241,The Commission accordingly makes recommendations to strengthen democracy and institutions of accountability.,05 Engineering and Business: Engineering,Built,democracy,,strengthen,democracy,Democracy,strengthen,Building/Strength,2669888,,
300,Destroy the 2nd amendment and what next.,01 Health and Safety,Threatened,2nd amendment,,Destroy,2nd amendment,Gun Rights,Destroy,Natural Physical Force/Physical Harm,3123770,,
1298,The Clinton administration claims democracy is a cornerstone of U.S. policy.,05 Engineering and Business: Engineering,Component,democracy,,cornerstone,democracy,Democracy,cornerstone,Building,760930,,
375,"--as opposed to, quite obviously, reducing gun violence--in the way that protecting gun rights is its own goal.",01 Health and Safety,Threatened,gun rights,,protecting,gun rights,Gun Rights,protecting,Protection,2427884,,
1565,"In reality, these letters - 106 to rifle owners, and 108 more to residents with standard capacity magazines – are the first step in the Connecticut State Police beginning to round up guns arbitrarily made illegal last year in that state.",09 Animals,Domesticated Animal,guns,round up [domesticated animal],round up,guns,Guns,round up,Animal,2376910,,
1093,"Your worship of gun rights and insistence that they remain available to the public at large costs tens of thousands of American lives every year, and forces people like me to live in fear every time we leave the safety of our own homes.",04 Power and Control: God,God,gun rights,worship of [god],worship of,gun rights,Gun Rights,worship,A God,2376884,,
1284,"Countries will also need to address the likely loss of revenue from liberalization through reforms to their tax systems that broaden and deepen domestic consumption taxation, including introducing a VAT where feasible.",05 Engineering and Business: Engineering,Built,domestic consumption taxation,,deepen,domestic consumption taxation,Taxation,deepen,Resource,3121194,,
1390,When gun control is a felony,06 Morality and Justice,Crime,gun control,,felony,gun control,Control of Guns,felony,Crime,2662127,,
991,"Of course, framing and populism might very well have to do with the success of guns and restaurants compared to underfunded software developers who find themselves under attack by the nazis in the entertainment industry who desperately want to keep up their immoral, unethical, and even illegal business practices.",03 Conflict,Winner,guns,,success,guns,Guns,success,Competition,2987548,,
1087,You've been taught to worship democracy.,04 Power and Control: God,God,democracy,,worship,democracy,Democracy,worship,A God,1522660,,
943,"Tackling poverty will require a multi-faceted approach and a coordinated effort by social service agencies, non-profit organizations, and community volunteers.",03 Conflict,Side,poverty,,tackling,poverty,Poverty,Tackling,Struggle,2009706,,
1165,Your firearms helped define your life.,04 Power and Control: Human,Servant,firearms,,helped,firearms,Guns,helped,Servant,2419557,,
1239,"Moreover, our pending bilateral free trade agreement is part of a regional strategy that encompasses pending free trade agreements with Peru , and Panama and complements existing agreements with Chile, Central America and the Dominican Republic, Mexico and Canada.Completing these agreements would solidify open markets and strengthen democracy along the Pacific coast of the Americas.",05 Engineering and Business: Engineering,Built,democracy,,strengthen,democracy,Democracy,strengthen,Building/Strength,2552202,,
73,I came back to this haven of taxation because I actually believe that I got something for my increased tax burden.,01 Health and Safety,Protection,taxation,,haven,taxation,Taxation,haven,Natural Physical Force/Physical Harm/Protection,158616,,
475,"Infrastructure, homelessness hamper recovery",02 Journey,Barrier,homelessness,,recovery,homelessness,Poverty,recovery,Barrier,2669363,,
789,They are valued partners in an effort to combat hunger in America.,03 Conflict,Enemy,hunger,,combat,hunger,Poverty,combat,War,1760052,,
1767,Romney doesn’t have clue about the image he projects because he has no ability to empathize or he would have been sensitive to the image and it’s value in for states just getting into the heat of the voting.,14 Embodied Experience: Temperature,Hot,the voting,heat of [hot],heat of,voting,Elections,heat,Temperature,761891,,
1080,"By romanticizing, he means the veneration of taxation or, as is often pushed by the modern left, the sentiment best spoken by Justice Oliver Wendell Holmes, ""Taxes are the price we pay for civilized society"".",04 Power and Control: God,God,taxation,,veneration,taxation,Taxation,veneration,A God,2377283,,
231,"Specifically, plaintiffs allege that the current election system impairs black citizens' ability to elect representatives of their choice by diluting the black vote through submergence in a multi-member district.",01 Health and Safety,Threat,election system,,impairs,election system,Elections,impairs,Physical Harm,1971300,,
821,"BHUTTO: I know that that's an argument that some of the supporters of the military regime say, that elections in Pakistan could give up a Hamas-type solution, but that's not what the polls show, that's not what the elections have shown.",03 Conflict,Loser,elections,,give up,elections,Elections,give up,Struggle,2900970,,
1535,"A patriarchal, tribal society, Yemen has experimented with democracy for several years even as it contends with elements sympathetic to terrorism.",07 Systematic Explanations,Experiment,democracy,experimented with [experiment],experimented,democracy,Democracy,experimented,Science,762196,,
1097,"Together with their new-found wealth, many Thais quickly shifted from their rustic, culturally-knitted lifestyle to pursue materialism and the worship of money.",04 Power and Control: God,God,money,,worship,money,Wealth,worship,A God,2796587,,
1722,The best news that has come is the rolling thunder of democracy spreading around the world from the northern coast of Africa such as Morroco Lybia Egypt the citizens of these one repressive nations dominated by dictators like Sadam and OMAR kADAFIE ARE NOW FINISHED AND WE SHOULD HOPE THAT THESE NATIONS WILL SEEEK THE FREEDOMS THAT GOD HAS PROVIDED EACH OF US AS HUMAN BEINGS THEN THEY CHOOSE FOR THEMSELVES THE TRUTH AND PATH THEY WILL FOLLOW more over we need such change like twenty years ago when russia was a powerful dictator the great communist nation is more democratic then ever before and soon the small once invisible nations will be free and hope with Gods blessings a peaceful nation building a democracy and given rights to its citizens.,13 Nature: Weather,Weather,democracy,thunder of [weather],thunder of,democracy,Democracy,thunder,Natural Physical Force,762189,,
1153,Do you think the taxpayer is best served?,04 Power and Control: Human,Leader,taxpayer,[leader] is * served,is best served,taxpayer,Taxpayers,served,Servant,2173502,,
129,"For those without privilege, the assault of hunger and the search for a quiet place to sleep take numbing precedence over the celebration of embodiment.",01 Health and Safety,Threat,hunger,,assault,hunger,Poverty,assault,Crime/Physical Harm,1600299,,
450,"The citizens of NJ let their gun rights fly out the window, thats their problem.",02 Journey,Agent,gun rights,[agent] fly,fly,gun rights,Gun Rights,fly out,Journey,,,
393,"Further, to follow your reasoning would defeat taxation of the lion's share of services that are part of the sale of taxable items.",01 Health and Safety,Threatened,taxation,,defeat,taxation,Taxation,defeat,Struggle,159041,,
1434,Poverty robs people of the ability to manage their time.,06 Morality and Justice,Criminal,poverty,,robs,Poverty,Poverty,robs,Crime/Theft,158906,,
945,Congress and the public now attack gun owners for a failure in the reporting system!,03 Conflict,Side,gun owners,,attack,gun owners,Guns,attack,Struggle/War,2908007,,
1407,"If the the U.S. would stop stealing the people's taxes (at least $3 billion dollars a year) and giving it away to Israel, Israel would be living like cavemen and no more a threat to anyone.",06 Morality and Justice,Crime,taxes,,stealing,taxes,Taxation,stealing,Crime/Theft,2003706,,
815,"Apart from the fact deluded firearm owners think gun control will just give up when they know very well that gun control will move mountains if they have to..... Closing thought: Owning a firearm will never protect you, being trained to use it effectively will.",03 Conflict,Loser,gun control,,give up,gun control,Control of Guns,give up,Emotion Experiencer,2735683,,
60,I did the  money cures that he would win big jackpot in bingo as he love to play it!,01 Health and Safety,Protection,money,,cures,money,Wealth,cures,Medicine,1997525,,
1364,"But as valuations sink and wealth evaporates, private bankers now face a client base of newly impoverished former rich.",05 Engineering and Business: Resource,Resource,wealth,,evaporates,wealth,Wealth,evaporates,Body of Water,159284,,
1467,"NEWSFLASH-- Sunday, September 7, 2008...Republicans Try Again to Steal Election in Ohio",06 Morality and Justice,Property,election,,steal,Election,Elections,Steal,Theft,2664022,,
578,"Well I guess if all the ruined lives from the 50% divorce rate doesn't trump gays right to marry, then the deaths of some people I've never known in a place I've never been shouldn't trump my gun rights either.",03 Conflict,Aid,gun rights,[aid] * trump,trump,gun rights,Gun Rights,trump,Game,2910048,,
285,"Even so, given our firsthand observations, we strongly believe that the diagnosis of Bolivian democracy as in danger and eroding is preemptive and unfounded.",01 Health and Safety,Threatened,democracy,,diagnosis,democracy,Democracy,diagnosis,Disease/Medicine,632127,,
1611,New York State's latest gun control brilliance has restricted active police officers and retired police officers to a maximum of seven (7) rounds in their pistols and rifles.,11 Darkness and Light,Entity,gun control,[entity] brilliance,brilliance,gun control,Control of Guns,brilliance,Light,2377661,,
481,"Know the reality, that wealth hinders entrance into the kingdom of God and living the Christian life and, thus, not many wealthy are saved.",02 Journey,Barrier,wealth,,hinders,wealth,Wealth,hinders,Confinement,158622,,
106,"In the past month or two, I've noticed a new addiction arise, one that's more powerful and widespread than ever, election addiction.",01 Health and Safety,Threat,election,,addiction,election,Elections,addiction,Addiction,1805670,,
1096,I don't worship guns and I've never felt my right to own firearms was under any sort of credible attack.,04 Power and Control: God,God,guns,,worship,guns,Guns,worship,A God,2672269,,
273,"Recalled Colorado Sen. Angela Giron: We can beat the gun lobby &mdash; we already have - The Washington Post Gun legislation has stalled in Congress because lawmakers fear the fate I suffered — being targeted, voted out or recalled by extremist political activists because of views on firearms safety that dare challenge the gun lobby.",01 Health and Safety,Threatened,gun lobby,,challenge,gun lobby,Gun Rights,challenge,Competition,2909397,,
3,"In fact there was quite a steady flow of illegal guns and gun use, right up until the Japanese government increased prison sentencing for gang involvement AND for use of an illegal weapon to extremes.",01 Health and Safety,Beneficial,guns,,flow,guns,Guns,flow,Body of Water/Movement,2668576,,
1481,Odinga had accused the government of President Mwai Kibaki of stealing last year's presidential elections.,06 Morality and Justice,Property,Presidential elections,,stealing,presidential elections,Elections,stealing,Theft,2629356,,
418,"Opposition parties in Thailand used the issue to attack the government, which initially backed the heritage listing.",01 Health and Safety,Threatened,government,,attack,government,Government,attack,War,382737,,
132,Some anonymous gun-rights activists commissioned a couple of roadside billboards in Greeley to make a dramatic point about the current epidemic of gun control fever brought to its ultimate extreme.,01 Health and Safety,Threat,gun control,[threat] fever,fever,gun control,Control of Guns,fever,Disease,2377067,,
1500,Login Reply #12: Comes from the idea that being poor is a punishment for sin.,06 Morality and Justice,Punishment,being poor,,punishment,being poor,Poverty,punishment,Crime,163084,,
1730,"I don't like violence and shudder everytime I hear of violence being enacted, but if someone is robbing your or extorting you, whether it is cloaked in a uniform of government or not, it is your right to defend yourself.",14 Embodied Experience: Clothing,Body,violence,[body] is cloaked,is cloaked,government,Government,uniform,Clothing,762622,,
448," Although I generally want to keep my distance from New Jersey, and so I technically shouldn't care about what goes on there, I'm always a little happy when gun rights advance, or in this case, when they don't lose ground.",02 Journey,Agent,gun rights,[agent] advance,advance,gun rights,Gun Rights,advance,Forward Movement/Journey,2377389,,
213,"However, guns destroy the ""natural order"" of things.",01 Health and Safety,Threat,guns,,destroy,guns,Guns,destroy,Physical Harm,3124050,,
316,But several of them want to characterize that as a disintegration of bureaucracy.,01 Health and Safety,Threatened,bureaucracy,,disintegration,bureaucracy,Bureaucracy,disintegration,Physical Harm,3119501,,
201,"Our children have been the collateral damage of bureaucracy, neglect and social engineering.",01 Health and Safety,Threat,bureaucracy,,collateral damage,bureaucracy,Bureaucracy,collateral damage,Physical Harm,3120055,,
1480,"Books I'd like to read: ""Stealing Elections"" by Jo...",06 Morality and Justice,Property,Elections,,Stealing,Elections,Elections,Stealing,Theft,2553329,,
1715,"Locally, Miguel P. Garcia seems to have taken up the torch of gun control with the introduction of HB77.",13 Nature: Fire,Torch,gun control,torch of [torch],torch of,gun control,Control of Guns,torch,Fire,2377305,,
1175,"When a government bureaucracy sells logging rights for a section of old- growth, the struggle begins.",05 Engineering and Business: Business,Business,bureaucracy,,sells,bureaucracy,Bureaucracy,sells,Business,3119400,,
208,Gun control is dangerous because an armed citizenry is essential to maintaining a government that fears the citizens.,01 Health and Safety,Threat,Gun control,,dangerous,Gun control,Control of Guns,dangerous,Physical Harm,2378673,,
1346,"As government agencies generate more electronic data than ever, IT managers are under pressure to resume operations quickly in the event of disruptions.",05 Engineering and Business: Resource,Extractor,government agencies,,generate,government agencies,Bureaucracy,generate,Energy/Machine,2458886,,
552,"No word yet as to how Feinstein is dealing with the fact that gun violence will be helping her hobble along on the same exact gun control path that paved the way for Adolf Hitler to murder millions of innocent, disarmed citizens.",02 Journey,Goal,gun control,[goal] path,path,gun control,Control of Guns,path,Pathway,2378647,,
852,"I oppose machine-gun bans, 'assault-weapon' bans, mag limits, background checks, perches/own/carry permits of any kind, 90% of all gun-free zones (to include private businesses open to the public), registration...etc.",03 Conflict,Side,machine-gun bans,,oppose,machine-gun bans,Control of Guns,oppose,Competition/Struggle,2732189,,
1065,On the other hand when guns become idols we can document how their presence transforms the personalities of individuals and entire communities.‰Û,04 Power and Control: God,God,guns,[god] become idols,become idols,guns,Guns,idols,A God,2376882,,
486,They come here illegally because it's easier to swim the Rio Grande than it is to climb the mountain of bureaucracy.,02 Journey,Barrier,bureaucracy,,mountain,bureaucracy,Bureaucracy,mountain,Hazardous Geographic Feature,2007454,,
164,Because in your mind it is the evil gun's fault not the fact this person needed Mental help.,01 Health and Safety,Threat,gun,,evil,gun,Guns,evil,Monster,2170220,,
1168,"Texas (like Alaska) is smart enough to tax oil extraction in the state, and these companies are leeching off of California, relying on the acerebral opposition of the California Republican Party to a tax on extracted oil (the typically hypocritical anti-tax extremist, Sarah Palin, raised Alaska's tax during her curtailed stint as governor), and their own ability to buy votes through heavy advertising.",05 Engineering and Business: Business,Business,votes,,buy,votes,Elections,buy,Business,155542,,
637,(The other gun debate... best choice for home defense!),03 Conflict,Conflict,the other gun debate,,debate,gun,Guns,debate,Struggle,,,
1350,"In each town, sales tax generates a significant amount of money.",05 Engineering and Business: Resource,Extractor,sales tax,,generates,sales tax,Taxation,generates,Energy/Machine,2222362,,
1359,Then the sales tax would generate $12 billion in annual tax revenues.,05 Engineering and Business: Resource,Extractor,sales tax,,generate,sales tax,Taxation,generate,Machine,2862877,,
699,"That is not anti gun victory, now, do we capitalize on the spineless nature of our reps, or do we let them regroup?",03 Conflict,Enemy,our reps,,,gun,Guns,victory,Competition,,,
520,3) gun violence is decreasing in this country.,02 Journey,Change,gun violence,,decreasing,gun violence,Guns,decreasing,Downward Movement,2705911,,
122,"According to Banderas, poverty restrains people from achieving many objectives in life.",01 Health and Safety,Threat,poverty,,restrains,poverty,Poverty,restrains,Confinement,158512,,
1638,"That is a mountain of guns, and it's growing.",12 High and Low,Level,HIGH,,mountain,guns,Guns,mountain,Hazardous Geographic Feature,3123993,,
1373,I mean obviously gun ownership will increase your statistical likelihood of dying by a firearms accident.,05 Engineering and Business: Resource,Resource,gun ownership,,increase,gun ownership,Gun Ownership,increase,Upward Movement,2895153,,
1094,Turtle - I fully realize that the sycophants and toadies of the gun lobby are dead set against my idea since it might cause some to have a negative feeling about these unnecessary deaths and worship of the almighty firearm is akin to a religion here for some.,04 Power and Control: God,God,firearm,,worship,firearm,Guns,worship,A God,2153153,,
806,And While gun control may have lost out on federal law have you counted the number of state laws passed and bill still in progress.,03 Conflict,Loser,gun control,,lost,gun control,Control of Guns,lost,Competition,2745283,,
194,Background Checks - Local Background Checks Can Reduce Deaths,01 Health and Safety,Threat,Background Checks,,Reduce,Background Checks,Control of Guns,Reduce,Physical Burden,3018814,,
772,Fighting gun control?,03 Conflict,Enemy,gun control,,fighting,gun control,Control of Guns,Fighting,Struggle/War,2180688,,
81,"So taxation relieves the deficit, and only makes insignificant interest payments on the debt owed to the Federal Reserve.",01 Health and Safety,Protection,taxation,,relieves,taxation,Taxation,relieves,Physical Burden,158601,,
1365,Stock prices jumped higher within minutes of word flashing around the world that Geithner was expected to get the job--a key one in any administration but especially sensitive given the crisis that is hurting everyone from pensioners to Wall Street titans as their wealth melts away.,05 Engineering and Business: Resource,Resource,wealth,,melts,wealth,Wealth,melts,Body of Water,762831,,
894,Best they learn how to fight gun control.,03 Conflict,Side,gun control,fight [side],fight,gun control,Control of Guns,fight,Struggle,,,
1376,This theory holds that reduced income tax rates increase GDP growth and thereby generate the same or more revenue for the government from the smaller tax on the extra growth.,05 Engineering and Business: Resource,Resource,income tax rates,,increase,income tax rates,Taxation,increase,Upward Movement,2845652,,
1030,"Calling the Brady bill's passage (front page, May 9) a victory of gun control over the dominance of the National Rifle Assn. is like reveling in a 12-1 Dodger loss because Darryl Strawberry hit a solo homer.",03 Conflict,Winner,gun control,,victory,gun control,Control of Guns,victory,Game,2377470,,
799,"If you've haven't yet read Ryan Lizza's crisp explanation of why gun control failed yesterday, please do so at your earliest convenience.",03 Conflict,Loser,gun control,,failed,gun control,Control of Guns,failed,Competition,2620567,,
1140,"Wealth doesn't provide freedom for them, wealth enslaves them.",04 Power and Control: Human,Leader,wealth,,enslaves,wealth,Wealth,enslaves,Enslavement,2378158,,
1305,"They are individuals and families whose taxes support the Government and whose voluntary gifts support church, charity, culture, art, and education.",05 Engineering and Business: Engineering,Component,taxes,,support,taxes,Taxation,support,Building,133254,,
142,Two educational income tax credits can reduce your or your parents' federal taxes.,01 Health and Safety,Threat,federal taxes,,reduce,federal taxes,Taxation,reduce,Downward Movement,2668434,,
679,"The Department of Child & Family Studies, in partnership with Florida KIDS COUNT which disseminates national, statewide and county-level data on key indicators for Florida's children, reached out to Children's Services Councils and various state partners to find out what is being done in their communities to support the growing number of children and families caught in the poverty battle.",03 Conflict,Conflict,poverty,,battle,poverty,Poverty,battle,War,2377883,,
1194,The city's user-friendly web site (www.cabq.gov) offers a wealth of information.,05 Engineering and Business: Business,Product,wealth,,offers,wealth,Wealth,offers,Business,1660005,,
812,Gun control will never be defeated until gun control and it supporters are driven out to sea.,03 Conflict,Loser,Gun control,,defeated,Gun control,Control of Guns,defeated,Competition/Struggle,2891471,,
729,"He had vowed to fight her poverty, brought about by the greed of bureaucracy, and he was so sure he would succeed, there was a swagger in his step.",03 Conflict,Enemy,poverty,,fight,poverty,Poverty,fight,Struggle,153344,,
1525,"Passage of Amendment 2 has robbed the legislature of the ability to make distinctions between life science research that is ethically acceptable, such as research with adult stem cells, and unethical experiments that involve human cloning or the destruction of human embryos.",06 Morality and Justice,Victim,legislature,,robbed,legislature,Bureaucracy/Government,robbed,Theft,746070,,
639,"Harry Wilson, author of a book on gun politics and director of the Institute for Policy and Opinion Research at Roanoke College in Virginia, summed up the landscape, telling Werner: ""Gun control is a fight that the administration is not willing to pick.",03 Conflict,Conflict,Gun control,,fight,Gun control,Control of Guns,fight,Struggle,2660287,,
822,"Imagine not only the above but stir in the fact that you currently belong to, and are senior officials, of your political party and it is basically illegal for you to campaign for the overthrow of the government.",03 Conflict,Loser,government,,overthrow,government,Government,overthrow,Struggle,155947,,
392,That means that we must remain firm in our commitment to defeat gun control at every turn.,01 Health and Safety,Threatened,gun control,,defeat,gun control,Control of Guns,defeat,Struggle,2378716,,
1625,"This is purposeful and dangerous reportage, misleading at best and designed to make the unthinking demand gun control escalation.",12 High and Low,Agent,gun control,[agent] escalation,escalation,gun control,Control of Guns,escalation,Upward Movement,2378728,,
582,"Poverty trumps genius,"" Gladwell said.",03 Conflict,Aid,Poverty,,trumps,Poverty,Poverty,trumps,Game,2378207,,
371,"President Obama, who created the idea of the sequester, is now against the sequester, saying it will lead to massive layoffs and accusing Republicans of choosing to protect the wealthy over first responders.",01 Health and Safety,Threatened,wealthy,,protect,wealthy,Wealth,protect,Protection,2660722,,
1004,"But it didn't, and so the eternal truism has again been proved: In the classic struggle between simplicity and fairness, bureaucracy wins every time.",03 Conflict,Winner,bureaucracy,,wins,bureaucracy,Bureaucracy,wins,Competition/Game,3120056,,
295,"Once this dynamic takes hold, real estate turns into a wealth disaster.",01 Health and Safety,Threatened,wealth,,disaster,wealth,Wealth,disaster,Natural Physical Force,2378354,,
338,"What is curious is how people furiously defend gun rights, while don't for other weapons.",01 Health and Safety,Threatened,gun rights,,defend,gun rights,Gun Rights,defend,Protection,2896392,,
598,"Similar to armed forces recruiting efforts, government agencies compete with one another to attract top talent. government organizations that specialize in scientific research have to compete with private companies to recruit PhD graduates.",03 Conflict,Conflict,government agencies,,compete,government agencies,Bureaucracy,compete,Competition,2007416,,
1029,"Meanwhile, the Qatar bid has been widely labeled a victory for wealth and influence over commonsense.",03 Conflict,Winner,wealth,,victory,wealth,Wealth,victory,Competition/War,3125376,,
374,"By responsibly using the statutes provided by Congress, the FBI has made substantial progress in its ability to proactively investigate and prevent terrorism and protect lives, while at the same time protecting civil liberties.""",01 Health and Safety,Threatened,civil liberties,,protecting,civil liberties,Democracy,protecting,Protection,2432390,,
1043,Trying to discuss the issue with the gun cult is pointless.,04 Power and Control: God,God,gun,[god] cult,cult,gun,Guns,cult,A God,2119257,,
546,This strategy is the chief reason America has moved quickly down the gun control path in the last decade.,02 Journey,Goal,gun control,,path,gun control,Control of Guns,path,Journey,3123461,,
1588,Jihadi wave tests Tunisia's young democracy,10 Human Life Cycle and Family Relations,Entity,democracy,young [entity],young,democracy,Democracy,young,Life Stage,,,
278,"Third, the Attorney General of the United States and the Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) are empowered to impose heightened restrictions, levy tough financial penalties, and suspend or revoke the license of any corrupt gun dealer.",01 Health and Safety,Threatened,gun dealer,,corrupt,gun dealer,Guns,corrupt,Contamination/Crime,3670562,,
622,"This is especially true of the race between Beau Biden & Ferris Wharton for Attorney General, which appears to be the closest and most heated race of the election season among the statewide offices.",03 Conflict,Conflict,election,,season,election,Elections,season,Game,3038298,,
1652,A December 1993 Time/CNN poll concludes over all that the American people favor an increase of gun control.,12 High and Low,Movement,UPWARD,,increase,gun control,Control of Guns,increase,Upward Movement,2378723,,
704,"And if those in power find a majority of votes is not within that prescription, we will see in those supposed democracies the same thing as we now see in Palestine: Hamas won the vote of the people in a free and fair election, and the USA and Israel have  tried and are just about to kill that democracy because it does not comport to their prescription of ""democracy.""",03 Conflict,Enemy,democracy,,kill,democracy,Democracy,kill,Crime/Physical Harm,155467,,
1318,The whole corrupt and rotten structure of gun control must be toppled.,05 Engineering and Business: Engineering,Destruction Potential,DESIRE,,must be toppled,gun control,Control of Guns,structure,Building,2376977,,
1491,"Hopefully, the American people will rise up against this murdering global corporate Empire that has stolen our government, stolen the lives of our children, and stolen the light of democracy from our country.",06 Morality and Justice,Property,government,,stolen,government,Government,stolen,Theft,507550,,
119,This does not permit an escape of taxation because the reserve is not an asset but a debt.,01 Health and Safety,Threat,taxation,,escape,taxation,Taxation,escape,Confinement,158935,,
577,Gun rights don't trump overall liberty.,03 Conflict,Aid,Gun rights,,trump,Gun rights,Gun Rights,trump,Game,2727189,,
770,Norton resident uses hobby to fight poverty in Honduras,03 Conflict,Enemy,poverty,,fight,poverty,Poverty,fight,Struggle/War,1632374,,
59,There is going to be pressure put on this Committee to see that our Constitution cures these conditions.,01 Health and Safety,Protection,Constitution,,cures,Constitution,Government,cures,Medicine,761514,,
800,"That may also be termed an 'IRG-failure,' the failure of the Internationally Recognised Government of the given state.",03 Conflict,Loser,government,,failure,Government,Government,failure,Competition,2666273,,
1306,"The members of Gloucester's Independent Church of Christ win their suit, and are granted the right to have their taxes support their own church.",05 Engineering and Business: Engineering,Component,taxes,,support,taxes,Taxation,support,Building,135326,,
722,"He continued by focusing on the positive steps that have been taken to decrease tax and custom rates, and efforts to fight the bureaucracy that previously crippled the opening and expanding of businesses and projects.",03 Conflict,Enemy,bureaucracy,,fight,bureaucracy,Bureaucracy,fight,Struggle,2664290,,
927,"[13] Former Ontario Provincial Police Commissioner Julian Fantino opposed the gun registry, stating in a press release in 2003: We have an ongoing gun crisis including firearms-related homicides lately in Toronto, and a law registering firearms has neither deterred these crimes nor helped us solve any of them.",03 Conflict,Side,gun registry,,opposed,gun registry,Control of Guns,opposed,Struggle,2706140,,
212,Harvey Weinstein: I'm Working on Movie With Meryl Streep to Destroy the NRA,01 Health and Safety,Threat,NRA,,Destroy,NRA,Gun Rights,Destroy,Physical Harm,3785070,,
934,The composition of leaders who overcame poverty to achieve the pinnacle of success in business changed very little over the course of the twentieth century.,03 Conflict,Side,poverty,,overcame,poverty,Poverty,overcame,Struggle,131524,,
461,"He lowers his hand but lifts his chin in self-righteous indignation, clearly trying to make me feel like an inferior low-life who is being dragged into the abyss of guns, drugs, and alcohol.",02 Journey,Barrier,guns,,abyss,guns,Guns,abyss,Abyss,3123872,,
1007,"We have to stop the mentality of \He who dies with the most guns wins\"".""",03 Conflict,Winner,He who dies with the most guns,[winner] wins,wins,guns,Guns,wins,Competition/Game,,,
86,"We will not partake in an election to choose a new oppressor, a new custodian of capital, a new guardian of poverty.",01 Health and Safety,Protection,poverty,,guardian,poverty,Poverty,guardian,Protection,3121114,,
361,"be part of all public polling and public discussion going forward.</p> <p>In Pew's question, respondents are asked, ""Which is more important, to control gun ownership, or protect gun rights?"", as if controlling gun ownership is its own goal",01 Health and Safety,Threatened,gun rights,,protect,gun rights,Gun Rights,protect,Protection,2427952,,
981,But how does one oppose a campaign by gun control without strategy or knowing what you are fighting?,03 Conflict,Side,gun control,campaign by [side],campaign by,gun control,Control of Guns,campaign,War,,,
1126,The original group that employed Democracy (Athens) was eventually destroyed by their neighbors.,04 Power and Control: Human,Degree,LOW,,employed,Democracy,Democracy,employed,Servant,155993,,
390,why is attacking gun rights almost always a hobby of the socialist left?,01 Health and Safety,Threatened,gun rights,,attacking,gun rights,Gun Rights,attacking,Struggle,2701312,,
1732,"Take the gun control hat off for a moment and imagine that someone had the sense to stop a man with a bag full of gas canisters, gas mask, body armour and a helmet.",14 Embodied Experience: Clothing,Clothing,gun control,[clothing] hat,hat,gun control,Control of Guns,hat,Clothing,2376999,,
